FID,DZ11CD,DZ11NM
1665,S01008456,The Calders - 03
1666,S01008106,Auchinairn - 05
1667,S01008256,IZ16 - 01
1668,S01008163,IZ01 - 01
1669,S01008164,IZ01 - 02
1670,S01008165,IZ01 - 03
1671,S01008166,IZ01 - 04
1672,S01008167,IZ01 - 05
1673,S01008168,IZ01 - 06
1674,S01008169,IZ01 - 07
1675,S01008170,IZ02 - 01
1676,S01008171,IZ02 - 02
1677,S01008172,IZ02 - 03
1678,S01008173,IZ02 - 04
1679,S01008174,IZ02 - 05
1680,S01008175,IZ02 - 06
1681,S01008176,IZ02 - 07
1682,S01008177,IZ03 - 01
1683,S01008178,IZ03 - 02
1684,S01008179,IZ03 - 03
1685,S01008180,IZ03 - 04
1686,S01008181,IZ03 - 05
1687,S01008182,IZ04 - 01
1688,S01008183,IZ04 - 02
1689,S01008184,IZ04 - 03
1690,S01008185,IZ04 - 04
1691,S01008186,IZ04 - 05
1692,S01008187,IZ04 - 06
1693,S01008188,IZ05 - 01
1694,S01008189,IZ05 - 02
1695,S01008190,IZ05 - 03
1696,S01008191,IZ05 - 04
1697,S01008192,IZ05 - 05
1698,S01008193,IZ05 - 06
1699,S01008194,IZ06 - 01
1700,S01008195,IZ06 - 02
1701,S01008196,IZ06 - 03
1702,S01008197,IZ07 - 01
1703,S01008198,IZ07 - 02
1704,S01008199,IZ07 - 03
1705,S01008200,IZ07 - 04
1706,S01008201,IZ07 - 05
1707,S01008202,IZ07 - 06
1708,S01008203,IZ07 - 07
1709,S01008204,IZ08 - 01
1710,S01008205,IZ08 - 02
1711,S01008457,The Calders - 04
1712,S01008412,South Thornliebank and Woodfarm - 02
1713,S01008357,Eaglesham and Waterfoot - 03
1714,S01008458,The Calders - 05
1715,S01008257,IZ16 - 02
1716,S01008107,Auchinairn - 06
1717,S01008413,South Thornliebank and Woodfarm - 03
1718,S01008358,Eaglesham and Waterfoot - 04
1719,S01008459,Murrayburn and Wester Hailes North - 01
1720,S01008258,IZ16 - 03
1721,S01008108,Woodhill East - 01
1722,S01008414,South Thornliebank and Woodfarm - 04
1723,S01008359,Eaglesham and Waterfoot - 05
1724,S01008460,Murrayburn and Wester Hailes North - 02
1725,S01008259,IZ16 - 04
1726,S01008109,Woodhill East - 02
1727,S01008415,South Thornliebank and Woodfarm - 05
1728,S01008360,Eaglesham and Waterfoot - 06
1729,S01008461,Murrayburn and Wester Hailes North - 03
1730,S01008260,IZ16 - 05
1731,S01008110,Woodhill East - 03
1732,S01008416,South Thornliebank and Woodfarm - 06
1733,S01008361,Eaglesham and Waterfoot - 07
1734,S01008462,Murrayburn and Wester Hailes North - 04
1735,S01008261,IZ16 - 06
1736,S01008111,Woodhill West - 01
1737,S01008417,Balerno and Bonnington Village - 01
1738,S01008362,North Kirkhill - 01
1739,S01008463,Murrayburn and Wester Hailes North - 05
1740,S01008262,IZ17 - 01
1741,S01008112,Woodhill West - 02
1742,S01008418,Balerno and Bonnington Village - 02
1743,S01008363,North Kirkhill - 02
1744,S01008464,Parkhead and Sighthill - 01
1745,S01008263,IZ17 - 02
1746,S01008113,Woodhill West - 03
1747,S01008419,Balerno and Bonnington Village - 03
1748,S01008364,North Kirkhill - 03
1749,S01008465,Parkhead and Sighthill - 02
1750,S01008264,IZ17 - 03
1751,S01008114,Woodhill West - 04
1752,S01008420,Balerno and Bonnington Village - 04
1753,S01008365,North Kirkhill - 04
1754,S01008466,Parkhead and Sighthill - 03
1755,S01008265,IZ17 - 04
1756,S01008115,Woodhill West - 05
1757,S01008421,Balerno and Bonnington Village - 05
1758,S01008366,Busby - 01
1759,S01008467,Parkhead and Sighthill - 04
1760,S01008266,IZ17 - 05
1761,S01008116,Lenzie North - 01
1762,S01008367,Busby - 02
1763,S01008422,Balerno and Bonnington Village - 06
1764,S01008423,Balerno and Bonnington Village - 07
1765,S01008424,Balerno and Bonnington Village - 08
1766,S01008425,Currie West - 01
1767,S01008426,Currie West - 02
1768,S01008427,Currie West - 03
1769,S01008428,Currie West - 04
1770,S01008429,Currie East - 01
1771,S01008430,Currie East - 02
1772,S01008431,Currie East - 03
1773,S01008432,Currie East - 04
1774,S01008433,Baberton and Juniper Green - 01
1775,S01008434,Baberton and Juniper Green - 02
1776,S01008435,Baberton and Juniper Green - 03
1777,S01008436,Baberton and Juniper Green - 04
1778,S01008437,Baberton and Juniper Green - 05
1779,S01008438,Bonaly and The Pentlands - 01
1780,S01008439,Bonaly and The Pentlands - 02
1781,S01008440,Bonaly and The Pentlands - 03
1782,S01008441,Bonaly and The Pentlands - 04
1783,S01008442,Bonaly and The Pentlands - 05
1784,S01008443,Bonaly and The Pentlands - 06
1785,S01008444,Colinton and Kingsknowe - 01
1786,S01008445,Colinton and Kingsknowe - 02
1787,S01008446,Colinton and Kingsknowe - 03
1788,S01008447,Colinton and Kingsknowe - 04
1789,S01008448,Colinton and Kingsknowe - 05
1790,S01008449,Clovenstone and Wester Hailes - 01
1791,S01008450,Clovenstone and Wester Hailes - 02
1792,S01008451,Clovenstone and Wester Hailes - 03
1793,S01008452,Clovenstone and Wester Hailes - 04
1794,S01008453,Clovenstone and Wester Hailes - 05
1795,S01008454,The Calders - 01
1796,S01008455,The Calders - 02
1797,S01008368,Busby - 03
1798,S01008468,Broomhouse and Bankhead - 01
1799,S01008117,Lenzie North - 02
1800,S01008469,Broomhouse and Bankhead - 02
1801,S01008369,Busby - 04
1802,S01008267,IZ17 - 06
1803,S01008268,IZ18 - 01
1804,S01008269,IZ18 - 02
1805,S01008270,IZ18 - 03
1806,S01008271,IZ18 - 04
1807,S01008206,IZ08 - 03
1808,S01008470,Broomhouse and Bankhead - 03
1809,S01008272,IZ19 - 01
1810,S01008118,Lenzie North - 03
1811,S01008370,Busby - 05
1812,S01008207,IZ08 - 04
1813,S01008471,Broomhouse and Bankhead - 04
1814,S01008273,IZ19 - 02
1815,S01008119,Lenzie North - 04
1816,S01008371,Clarkston and Sheddens - 01
1817,S01008208,IZ08 - 05
1818,S01008472,Broomhouse and Bankhead - 05
1819,S01008274,IZ19 - 03
1820,S01008120,Lenzie North - 05
1821,S01008372,Clarkston and Sheddens - 02
1822,S01008209,IZ08 - 06
1823,S01008473,Stenhouse and Saughton Mains - 01
1824,S01008275,IZ19 - 04
1825,S01008121,Lenzie North - 06
1826,S01008373,Clarkston and Sheddens - 03
1827,S01008210,IZ09 - 01
1828,S01008474,Stenhouse and Saughton Mains - 02
1829,S01008276,IZ19 - 05
1830,S01008122,Lenzie North - 07
1831,S01008374,Clarkston and Sheddens - 04
1832,S01008211,IZ09 - 02
1833,S01008475,Stenhouse and Saughton Mains - 03
1834,S01008277,IZ20 - 01
1835,S01008123,Lenzie South - 01
1836,S01008375,Clarkston and Sheddens - 05
1837,S01008212,IZ09 - 03
1838,S01008476,Stenhouse and Saughton Mains - 04
1839,S01008278,IZ20 - 02
1840,S01008124,Lenzie South - 02
1841,S01008376,Clarkston and Sheddens - 06
1842,S01008213,IZ09 - 04
1843,S01008477,Stenhouse and Saughton Mains - 05
1844,S01008279,IZ20 - 03
1845,S01008125,Lenzie South - 03
1846,S01008377,Clarkston and Sheddens - 07
1847,S01008214,IZ09 - 05
1848,S01008478,Stenhouse and Saughton Mains - 06
1849,S01008479,Stenhouse and Saughton Mains - 07
1850,S01008480,Stenhouse and Saughton Mains - 08
1851,S01008481,Longstone and Saughton - 01
1852,S01008482,Longstone and Saughton - 02
1853,S01008483,Longstone and Saughton - 03
1854,S01008484,Longstone and Saughton - 04
1855,S01008485,Longstone and Saughton - 05
1856,S01008486,Slateford and Chesser - 01
1857,S01008487,Slateford and Chesser - 02
1858,S01008488,Slateford and Chesser - 03
1859,S01008489,Slateford and Chesser - 04
1860,S01008490,Slateford and Chesser - 05
1861,S01008491,Slateford and Chesser - 06
1862,S01008492,Gorgie West - 01
1863,S01008493,Gorgie West - 02
1864,S01008494,Gorgie West - 03
1865,S01008495,Gorgie West - 04
1866,S01008496,Gorgie West - 05
1867,S01008497,Gorgie East - 01
1868,S01008498,Gorgie East - 02
1869,S01008499,Gorgie East - 03
1870,S01008500,Gorgie East - 04
1871,S01008501,Gorgie East - 05
1872,S01008502,Shandon - 01
1873,S01008503,Shandon - 02
1874,S01008504,Shandon - 03
1875,S01008505,Shandon - 04
1876,S01008126,Lenzie South - 04
1877,S01008280,IZ20 - 04
1878,S01008378,Clarkston and Sheddens - 08
1879,S01008127,Kirkintilloch South - 01
1880,S01008281,IZ20 - 05
1881,S01008379,Williamwood - 01
1882,S01008128,Kirkintilloch South - 02
1883,S01008282,IZ20 - 06
1884,S01008380,Williamwood - 02
1885,S01008129,Kirkintilloch South - 03
1886,S01008283,IZ20 - 07
1887,S01008381,Williamwood - 03
1888,S01008130,Kirkintilloch South - 04
1889,S01008284,IZ21 - 01
1890,S01008382,Williamwood - 04
1891,S01008131,Kirkintilloch West - 01
1892,S01008285,IZ21 - 02
1893,S01008383,Williamwood - 05
1894,S01008132,Kirkintilloch West - 02
1895,S01008286,IZ21 - 03
1896,S01008384,Stamperland - 01
1897,S01008133,Kirkintilloch West - 03
1898,S01008287,IZ21 - 04
1899,S01008385,Stamperland - 02
1900,S01008134,Kirkintilloch West - 04
1901,S01008288,IZ21 - 05
1902,S01008386,Stamperland - 03
1903,S01008135,Kirkintilloch West - 05
1904,S01008289,IZ22 - 01
1905,S01008387,Stamperland - 04
1906,S01008136,Hillhead - 01
1907,S01008290,IZ22 - 02
1908,S01008388,Stamperland - 05
1909,S01008137,Hillhead - 02
1910,S01008291,IZ22 - 03
1911,S01008389,Netherlee - 01
1912,S01008138,Hillhead - 03
1913,S01008292,IZ22 - 04
1914,S01008390,Netherlee - 02
1915,S01008139,Hillhead - 04
1916,S01008293,IZ22 - 05
1917,S01008391,Netherlee - 03
1918,S01008140,Hillhead - 05
1919,S01008294,IZ22 - 06
1920,S01008392,Netherlee - 04
1921,S01008141,Rosebank and Waterside - 01
1922,S01008295,West Neilston and Uplawmoor - 01
1923,S01008393,Netherlee - 05
1924,S01008142,Rosebank and Waterside - 02
1925,S01008296,West Neilston and Uplawmoor - 02
1926,S01008394,Netherlee - 06
1927,S01008143,Rosebank and Waterside - 03
1928,S01008297,West Neilston and Uplawmoor - 03
1929,S01008395,Merrylee and Braidbar - 01
1930,S01008144,Rosebank and Waterside - 04
1931,S01008298,West Neilston and Uplawmoor - 04
1932,S01008396,Merrylee and Braidbar - 02
1933,S01008145,Twechar and Harestanes East - 01
1934,S01008299,West Neilston and Uplawmoor - 05
1935,S01008397,Merrylee and Braidbar - 03
1936,S01008146,Twechar and Harestanes East - 02
1937,S01008300,West Neilston and Uplawmoor - 06
1938,S01008301,West Neilston and Uplawmoor - 07
1939,S01008302,West Neilston and Uplawmoor - 08
1940,S01008303,Cross Stobbs - 01
1941,S01008304,Cross Stobbs - 02
1942,S01008305,Cross Stobbs - 03
1943,S01008215,IZ09 - 06
1944,S01008147,Twechar and Harestanes East - 03
1945,S01008148,Twechar and Harestanes East - 04
1946,S01008149,Harestanes - 01
1947,S01008150,Harestanes - 02
1948,S01008151,Harestanes - 03
1949,S01008152,Harestanes - 04
1950,S01008153,Milton of Campsie - 01
1951,S01008154,Milton of Campsie - 02
1952,S01008155,Milton of Campsie - 03
1953,S01008398,Merrylee and Braidbar - 04
1954,S01008399,Merrylee and Braidbar - 05
1955,S01008400,Merrylee and Braidbar - 06
1956,S01008401,Merrylee and Braidbar - 07
1957,S01008402,Lower Whitecraigs and South Giffnock - 01
1958,S01008403,Lower Whitecraigs and South Giffnock - 02
1959,S01008404,Lower Whitecraigs and South Giffnock - 03
1960,S01008405,Lower Whitecraigs and South Giffnock - 04
1961,S01008216,IZ09 - 07
1962,S01008217,IZ09 - 08
1963,S01008218,IZ10 - 01
1964,S01008219,IZ10 - 02
1965,S01008220,IZ10 - 03
1966,S01008221,IZ10 - 04
1967,S01008222,IZ10 - 05
1968,S01008223,IZ10 - 06
1969,S01008224,IZ10 - 07
1970,S01008225,IZ10 - 08
1971,S01008226,IZ11 - 01
1972,S01008227,IZ11 - 02
1973,S01008228,IZ11 - 03
1974,S01008229,IZ11 - 04
1975,S01008230,IZ11 - 05
1976,S01008231,IZ11 - 06
1977,S01008232,IZ11 - 07
1978,S01008233,IZ11 - 08
1979,S01008234,IZ12 - 01
1980,S01008235,IZ12 - 02
1981,S01008236,IZ12 - 03
1982,S01008237,IZ12 - 04
1983,S01008238,IZ13 - 01
1984,S01008239,IZ13 - 02
1985,S01008240,IZ13 - 03
1986,S01008241,IZ13 - 04
1987,S01008242,IZ13 - 05
1988,S01008243,IZ13 - 06
1989,S01008244,IZ13 - 07
1990,S01008245,IZ14 - 01
1991,S01008246,IZ14 - 02
1992,S01008247,IZ14 - 03
1993,S01008248,IZ14 - 04
1994,S01008249,IZ14 - 05
1995,S01008250,IZ14 - 06
1996,S01008251,IZ15 - 01
1997,S01008252,IZ15 - 02
1998,S01008253,IZ15 - 03
1999,S01008254,IZ15 - 04
2000,S01008255,IZ15 - 05
2001,S01008656,Dalry and Fountainbridge - 06
2002,S01008756,Restalrig and Lochend - 01
2003,S01008757,Restalrig and Lochend - 02
2004,S01008758,Restalrig and Lochend - 03
2005,S01008759,Restalrig and Lochend - 04
2006,S01008760,Restalrig and Lochend - 05
2007,S01008761,Restalrig and Lochend - 06
2008,S01008762,Leith (Hermitage and Prospect Bank) - 01
2009,S01008763,Leith (Hermitage and Prospect Bank) - 02
2010,S01008764,Leith (Hermitage and Prospect Bank) - 03
2011,S01008765,Leith (Hermitage and Prospect Bank) - 04
2012,S01008766,Leith (Hermitage and Prospect Bank) - 05
2013,S01008767,Leith (Hermitage and Prospect Bank) - 06
2014,S01008768,Western Harbour and Leith Docks - 01
2015,S01008769,Western Harbour and Leith Docks - 02
2016,S01008770,Western Harbour and Leith Docks - 03
2017,S01008771,Western Harbour and Leith Docks - 04
2018,S01008772,North Leith and Newhaven - 01
2019,S01008773,North Leith and Newhaven - 02
2020,S01008774,North Leith and Newhaven - 03
2021,S01008775,North Leith and Newhaven - 04
2022,S01008776,North Leith and Newhaven - 05
2023,S01008777,North Leith and Newhaven - 06
2024,S01008556,"Gracemount, Southhouse and Burdiehouse - 04"
2025,S01008606,The Grange - 03
2026,S01008657,Dalry and Fountainbridge - 07
2027,S01008856,Canonmills and New Town North - 04
2028,S01008806,Hillside and Calton Hill - 01
2029,S01008706,Niddrie - 01
2030,S01008778,The Shore and Constitution Street - 01
2031,S01008779,The Shore and Constitution Street - 02
2032,S01008780,The Shore and Constitution Street - 03
2033,S01008781,The Shore and Constitution Street - 04
2034,S01008782,The Shore and Constitution Street - 05
2035,S01008783,The Shore and Constitution Street - 06
2036,S01008784,The Shore and Constitution Street - 07
2037,S01008785,Great Junction Street - 01
2038,S01008786,Great Junction Street - 02
2039,S01008787,Great Junction Street - 03
2040,S01008788,Great Junction Street - 04
2041,S01008789,Great Junction Street - 05
2042,S01008790,Great Junction Street - 06
2043,S01008791,Great Junction Street - 07
2044,S01008792,South Leith - 01
2045,S01008793,South Leith - 02
2046,S01008794,South Leith - 03
2047,S01008795,South Leith - 04
2048,S01008796,South Leith - 05
2049,S01008797,South Leith - 06
2050,S01008798,Easter Road and Hawkhill Avenue - 01
2051,S01008799,Easter Road and Hawkhill Avenue - 02
2052,S01008800,Easter Road and Hawkhill Avenue - 03
2053,S01008801,Easter Road and Hawkhill Avenue - 04
2054,S01008802,Leith (Albert Street) - 01
2055,S01008803,Leith (Albert Street) - 02
2056,S01008804,Leith (Albert Street) - 03
2057,S01008805,Leith (Albert Street) - 04
2058,S01008557,"Gracemount, Southhouse and Burdiehouse - 05"
2059,S01008658,Dalry and Fountainbridge - 08
2060,S01008807,Hillside and Calton Hill - 02
2061,S01008857,Stockbridge - 01
2062,S01008707,Niddrie - 02
2063,S01008558,"Gracemount, Southhouse and Burdiehouse - 06"
2064,S01008607,The Grange - 04
2065,S01008659,Tollcross - 01
2066,S01008808,Hillside and Calton Hill - 03
2067,S01008858,Stockbridge - 02
2068,S01008708,Niddrie - 03
2069,S01008559,Hyvots and Gilmerton - 01
2070,S01008608,The Grange - 05
2071,S01008660,Tollcross - 02
2072,S01008809,Hillside and Calton Hill - 04
2073,S01008859,Stockbridge - 03
2074,S01008709,Niddrie - 04
2075,S01008560,Hyvots and Gilmerton - 02
2076,S01008609,The Grange - 06
2077,S01008661,Tollcross - 03
2078,S01008810,Hillside and Calton Hill - 05
2079,S01008860,Stockbridge - 04
2080,S01008710,Niddrie - 05
2081,S01008561,Hyvots and Gilmerton - 03
2082,S01008610,The Grange - 07
2083,S01008662,Tollcross - 04
2084,S01008811,Hillside and Calton Hill - 06
2085,S01008861,Stockbridge - 05
2086,S01008711,Niddrie - 06
2087,S01008562,Hyvots and Gilmerton - 04
2088,S01008611,Marchmont East and Sciennes - 01
2089,S01008663,Tollcross - 05
2090,S01008812,Hillside and Calton Hill - 07
2091,S01008862,Stockbridge - 06
2092,S01008712,"Bingham, Magdalene and The Christians - 01"
2093,S01008563,Hyvots and Gilmerton - 05
2094,S01008612,Marchmont East and Sciennes - 02
2095,S01008664,Tollcross - 06
2096,S01008813,Pilrig - 01
2097,S01008863,Stockbridge - 07
2098,S01008713,"Bingham, Magdalene and The Christians - 02"
2099,S01008564,Fernieside and Moredun South - 01
2100,S01008613,Marchmont East and Sciennes - 03
2101,S01008665,Tollcross - 07
2102,S01008814,Pilrig - 02
2103,S01008864,Comely Bank - 01
2104,S01008714,"Bingham, Magdalene and The Christians - 03"
2105,S01008565,Fernieside and Moredun South - 02
2106,S01008614,Marchmont East and Sciennes - 04
2107,S01008666,Meadows and Southside - 01
2108,S01008815,Pilrig - 03
2109,S01008865,Comely Bank - 02
2110,S01008715,"Bingham, Magdalene and The Christians - 04"
2111,S01008716,"Bingham, Magdalene and The Christians - 05"
2112,S01008717,"Jewel, Brunstane and Newcraighall - 01"
2113,S01008718,"Jewel, Brunstane and Newcraighall - 02"
2114,S01008719,"Jewel, Brunstane and Newcraighall - 03"
2115,S01008720,"Jewel, Brunstane and Newcraighall - 04"
2116,S01008721,"Jewel, Brunstane and Newcraighall - 05"
2117,S01008722,Joppa - 01
2118,S01008723,Joppa - 02
2119,S01008724,Joppa - 03
2120,S01008725,Joppa - 04
2121,S01008726,Joppa - 05
2122,S01008727,Joppa - 06
2123,S01008728,Portobello - 01
2124,S01008729,Portobello - 02
2125,S01008730,Portobello - 03
2126,S01008731,Portobello - 04
2127,S01008732,Portobello - 05
2128,S01008733,Portobello - 06
2129,S01008734,Duddingston and Portobello South - 01
2130,S01008735,Duddingston and Portobello South - 02
2131,S01008736,Duddingston and Portobello South - 03
2132,S01008737,Duddingston and Portobello South - 04
2133,S01008738,Duddingston and Portobello South - 05
2134,S01008739,Mountcastle - 01
2135,S01008740,Mountcastle - 02
2136,S01008741,Mountcastle - 03
2137,S01008742,Mountcastle - 04
2138,S01008743,Northfield and Piershill - 01
2139,S01008744,Northfield and Piershill - 02
2140,S01008745,Northfield and Piershill - 03
2141,S01008746,Northfield and Piershill - 04
2142,S01008747,Craigentinny - 01
2143,S01008748,Craigentinny - 02
2144,S01008749,Craigentinny - 03
2145,S01008750,Craigentinny - 04
2146,S01008751,Restalrig (Loganlea) and Craigentinny West - 01
2147,S01008752,Restalrig (Loganlea) and Craigentinny West - 02
2148,S01008753,Restalrig (Loganlea) and Craigentinny West - 03
2149,S01008754,Restalrig (Loganlea) and Craigentinny West - 04
2150,S01008755,Restalrig (Loganlea) and Craigentinny West - 05
2151,S01008506,Shandon - 05
2152,S01008866,Comely Bank - 03
2153,S01008615,Marchmont East and Sciennes - 05
2154,S01008566,Fernieside and Moredun South - 03
2155,S01008867,Comely Bank - 04
2156,S01008667,Meadows and Southside - 02
2157,S01008616,Marchmont East and Sciennes - 06
2158,S01008567,Fernieside and Moredun South - 04
2159,S01008868,Deans Village - 01
2160,S01008668,Meadows and Southside - 03
2161,S01008617,Marchmont West - 01
2162,S01008816,Pilrig - 04
2163,S01008568,Fernieside and Moredun South - 05
2164,S01008869,Deans Village - 02
2165,S01008669,Meadows and Southside - 04
2166,S01008618,Marchmont West - 02
2167,S01008817,Bonnington - 01
2168,S01008569,Moredun and Craigour - 01
2169,S01008870,Deans Village - 03
2170,S01008670,Meadows and Southside - 05
2171,S01008619,Marchmont West - 03
2172,S01008818,Bonnington - 02
2173,S01008570,Moredun and Craigour - 02
2174,S01008871,Deans Village - 04
2175,S01008671,Meadows and Southside - 06
2176,S01008620,Marchmont West - 04
2177,S01008819,Bonnington - 03
2178,S01008571,Moredun and Craigour - 03
2179,S01008872,Deans Village - 05
2180,S01008672,Meadows and Southside - 07
2181,S01008621,Marchmont West - 05
2182,S01008820,Bonnington - 04
2183,S01008572,Moredun and Craigour - 04
2184,S01008873,Deans Village - 06
2185,S01008673,Meadows and Southside - 08
2186,S01008622,Marchmont West - 06
2187,S01008821,Trinity East and The Dudleys - 01
2188,S01008573,Liberton East - 01
2189,S01008874,Deans Village - 07
2190,S01008674,"Old Town, Princes Street and Leith Street - 01"
2191,S01008675,"Old Town, Princes Street and Leith Street - 02"
2192,S01008676,"Old Town, Princes Street and Leith Street - 03"
2193,S01008677,"Old Town, Princes Street and Leith Street - 04"
2194,S01008678,"Old Town, Princes Street and Leith Street - 05"
2195,S01008679,"Old Town, Princes Street and Leith Street - 06"
2196,S01008680,"Canongate, Southside and Dumbiedykes - 01"
2197,S01008681,"Canongate, Southside and Dumbiedykes - 02"
2198,S01008682,"Canongate, Southside and Dumbiedykes - 03"
2199,S01008683,"Canongate, Southside and Dumbiedykes - 04"
2200,S01008684,"Canongate, Southside and Dumbiedykes - 05"
2201,S01008685,"Canongate, Southside and Dumbiedykes - 06"
2202,S01008686,Abbeyhill - 01
2203,S01008687,Abbeyhill - 02
2204,S01008688,Abbeyhill - 03
2205,S01008689,Meadowbank and Abbeyhill North - 01
2206,S01008690,Meadowbank and Abbeyhill North - 02
2207,S01008691,Meadowbank and Abbeyhill North - 03
2208,S01008692,Meadowbank and Abbeyhill North - 04
2209,S01008693,Meadowbank and Abbeyhill North - 05
2210,S01008694,Willowbrae and Duddingston Village - 01
2211,S01008695,Willowbrae and Duddingston Village - 02
2212,S01008696,Willowbrae and Duddingston Village - 03
2213,S01008697,Willowbrae and Duddingston Village - 04
2214,S01008698,Willowbrae and Duddingston Village - 05
2215,S01008699,Willowbrae and Duddingston Village - 06
2216,S01008700,Willowbrae and Duddingston Village - 07
2217,S01008701,Craigmillar - 01
2218,S01008702,Craigmillar - 02
2219,S01008703,Craigmillar - 03
2220,S01008704,Craigmillar - 04
2221,S01008705,Craigmillar - 05
2222,S01008507,Shandon - 06
2223,S01008822,Trinity East and The Dudleys - 02
2224,S01008508,Craiglockhart - 01
2225,S01008875,Balgreen and Roseburn - 01
2226,S01008823,Trinity East and The Dudleys - 03
2227,S01008623,Marchmont West - 07
2228,S01008574,Liberton East - 02
2229,S01008509,Craiglockhart - 02
2230,S01008876,Balgreen and Roseburn - 02
2231,S01008824,Trinity East and The Dudleys - 04
2232,S01008624,Morningside - 01
2233,S01008575,Liberton East - 03
2234,S01008510,Craiglockhart - 03
2235,S01008877,Balgreen and Roseburn - 03
2236,S01008825,Trinity East and The Dudleys - 05
2237,S01008625,Morningside - 02
2238,S01008576,Liberton East - 04
2239,S01008511,Craiglockhart - 04
2240,S01008878,Balgreen and Roseburn - 04
2241,S01008826,Trinity - 01
2242,S01008626,Morningside - 03
2243,S01008577,Liberton West and Braid Hills - 01
2244,S01008512,Craiglockhart - 05
2245,S01008879,Balgreen and Roseburn - 05
2246,S01008827,Trinity - 02
2247,S01008627,Morningside - 04
2248,S01008578,Liberton West and Braid Hills - 02
2249,S01008513,Craiglockhart - 06
2250,S01008880,Balgreen and Roseburn - 06
2251,S01008828,Trinity - 03
2252,S01008628,Morningside - 05
2253,S01008579,Liberton West and Braid Hills - 03
2254,S01008514,Morningside and Craighouse - 01
2255,S01008881,Murrayfield and Ravelston - 01
2256,S01008829,Trinity - 04
2257,S01008629,Morningside - 06
2258,S01008580,Liberton West and Braid Hills - 04
2259,S01008515,Morningside and Craighouse - 02
2260,S01008882,Murrayfield and Ravelston - 02
2261,S01008830,Trinity - 05
2262,S01008630,Morningside - 07
2263,S01008581,The Inch - 01
2264,S01008516,Morningside and Craighouse - 03
2265,S01008883,Murrayfield and Ravelston - 03
2266,S01008831,Trinity - 06
2267,S01008832,"Inverleith, Goldenacre and Warriston - 01"
2268,S01008833,"Inverleith, Goldenacre and Warriston - 02"
2269,S01008834,"Inverleith, Goldenacre and Warriston - 03"
2270,S01008835,"Inverleith, Goldenacre and Warriston - 04"
2271,S01008836,Broughton North and Powderhall - 01
2272,S01008837,Broughton North and Powderhall - 02
2273,S01008838,Broughton North and Powderhall - 03
2274,S01008839,Broughton North and Powderhall - 04
2275,S01008840,Broughton South - 01
2276,S01008841,Broughton South - 02
2277,S01008842,Broughton South - 03
2278,S01008843,Broughton South - 04
2279,S01008844,Broughton South - 05
2280,S01008845,New Town East and Gayfield - 01
2281,S01008846,New Town East and Gayfield - 02
2282,S01008847,New Town East and Gayfield - 03
2283,S01008848,New Town East and Gayfield - 04
2284,S01008849,New Town West - 01
2285,S01008850,New Town West - 02
2286,S01008851,New Town West - 03
2287,S01008852,New Town West - 04
2288,S01008853,Canonmills and New Town North - 01
2289,S01008854,Canonmills and New Town North - 02
2290,S01008855,Canonmills and New Town North - 03
2291,S01008884,Murrayfield and Ravelston - 04
2292,S01008582,The Inch - 02
2293,S01008885,Murrayfield and Ravelston - 05
2294,S01008583,The Inch - 03
2295,S01008886,"Craigleith, Orchard Brae and Crewe Toll - 01"
2296,S01008631,Morningside - 08
2297,S01008584,The Inch - 04
2298,S01008887,"Craigleith, Orchard Brae and Crewe Toll - 02"
2299,S01008632,Merchiston and Greenhill - 01
2300,S01008585,The Inch - 05
2301,S01008888,"Craigleith, Orchard Brae and Crewe Toll - 03"
2302,S01008633,Merchiston and Greenhill - 02
2303,S01008586,The Inch - 06
2304,S01008889,"Craigleith, Orchard Brae and Crewe Toll - 04"
2305,S01008634,Merchiston and Greenhill - 03
2306,S01008587,"Blackford, West Mains and Mayfield Road - 01"
2307,S01008890,"Craigleith, Orchard Brae and Crewe Toll - 05"
2308,S01008635,Merchiston and Greenhill - 04
2309,S01008588,"Blackford, West Mains and Mayfield Road - 02"
2310,S01008891,"Craigleith, Orchard Brae and Crewe Toll - 06"
2311,S01008636,Merchiston and Greenhill - 05
2312,S01008589,"Blackford, West Mains and Mayfield Road - 03"
2313,S01008892,Blackhall - 01
2314,S01008637,Merchiston and Greenhill - 06
2315,S01008590,"Blackford, West Mains and Mayfield Road - 04"
2316,S01008893,Blackhall - 02
2317,S01008638,Bruntsfield - 01
2318,S01008591,"Blackford, West Mains and Mayfield Road - 05"
2319,S01008894,Blackhall - 03
2320,S01008639,Bruntsfield - 02
2321,S01008592,"Blackford, West Mains and Mayfield Road - 06"
2322,S01008895,Blackhall - 04
2323,S01008640,Bruntsfield - 03
2324,S01008593,"Blackford, West Mains and Mayfield Road - 07"
2325,S01008896,Blackhall - 05
2326,S01008641,Bruntsfield - 04
2327,S01008594,"Blackford, West Mains and Mayfield Road - 08"
2328,S01008897,Blackhall - 06
2329,S01008642,Bruntsfield - 05
2330,S01008595,Prestonfield - 01
2331,S01008898,Blackhall - 07
2332,S01008643,Bruntsfield - 06
2333,S01008596,Prestonfield - 02
2334,S01008899,Drylaw - 01
2335,S01008644,Bruntsfield - 07
2336,S01008597,Prestonfield - 03
2337,S01008900,Drylaw - 02
2338,S01008645,Polwarth - 01
2339,S01008598,Prestonfield - 04
2340,S01008901,Drylaw - 03
2341,S01008646,Polwarth - 02
2342,S01008599,Newington and Dalkeith Road - 01
