Upper Tier Local Authority District code (2024),Upper Tier Local Authority District name (2024),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD25 - Extent ,IMD25 - Rank of extent ,IMD25 - Local concentration ,IMD25 - Rank of local concentration 
E09000033,Westminster,19406.31,63,23.931,68,0.0894,68,0.2328,66,31297.11,72
E10000003,Cambridgeshire,11503.99,133,13.328,133,0.0127,116,0.0372,136,26099.13,136
E10000007,Derbyshire,15920.69,99,19.386,96,0.0561,82,0.1418,90,30681.97,81
E10000008,Devon,15820.94,101,17.722,107,0.0063,125,0.0511,129,27051.2,129
E10000011,East Sussex,16962.02,91,21.23,84,0.0873,70,0.1661,81,31846.19,64
E10000012,Essex,14734.04,108,17.703,108,0.0354,93,0.0995,109,29792.39,96
E10000013,Gloucestershire,12720.37,124,15.146,126,0.0305,98,0.0788,118,28885.58,111
E10000014,Hampshire,10604.87,138,12.777,137,0.0185,111,0.0537,127,27426.52,126
E10000015,Hertfordshire,11357.88,136,13.007,135,0.0014,130,0.0246,141,25149.91,139
E10000016,Kent,16889.52,92,20.7,89,0.064,77,0.1535,85,31202.96,74
E10000017,Lancashire,17488.33,84,23.56,71,0.1447,49,0.2551,60,32705.32,35
E10000018,Leicestershire,11074.91,137,12.809,136,0.0074,121,0.0292,137,25512.59,137
E10000019,Lincolnshire,17917.3,80,22.239,82,0.0897,67,0.1799,77,31713.26,69
E10000020,Norfolk,17624.23,83,21.179,86,0.0562,81,0.1354,94,31018.51,77
E10000024,Nottinghamshire,14940.12,106,18.599,100,0.0535,84,0.1467,89,30808.99,78
E10000025,Oxfordshire,9465.48,146,11.18,144,0.0047,128,0.0258,140,24172.09,142
E10000028,Staffordshire,13973.8,116,16.513,118,0.0281,102,0.0973,112,28894.87,110
E10000029,Suffolk,15858.66,100,18.849,98,0.0512,85,0.1133,104,30451.22,85
E10000030,Surrey,8497.63,150,10.132,148,0,131,0.0116,143,23208.51,143
E10000031,Warwickshire,13284.06,119,15.589,122,0.0254,104,0.066,123,28184.48,117
E10000032,West Sussex,12903.6,123,14.8,128,0.0113,117,0.0442,131,26611.12,131
E10000034,Worcestershire,14295.14,112,17.311,113,0.0481,88,0.117,103,30216.72,89
